seat number,building,date,time slot,student number
12,A,2024-04-13,8:00-10:00,S10127
41,C,2024-02-19,14:00-16:00,S10127
35,B,2024-01-11,10:00-12:00,S10127
54,C,2024-05-15,16:00-18:00,S10127
3,A,2024-12-09,14:00-16:00,S10127
27,B,2024-12-07,14:00-16:00,S10127
2,A,2024-09-22,14:00-16:00,S10127
70,D,2024-08-21,14:00-16:00,S10127
15,A,2024-08-22,16:00-18:00,S10127
34,B,2024-12-27,16:00-18:00,S10127
20,A,2024-12-02,14:00-16:00,S10127
43,C,2024-05-07,16:00-18:00,S10127
47,C,2024-03-20,14:00-16:00,S10127
67,D,2024-12-06,8:00-10:00,S10127
25,B,2024-02-09,10:00-12:00,S10127
14,A,2024-07-02,16:00-18:00,S10133
32,B,2024-04-04,10:00-12:00,S10127
9,A,2024-09-28,14:00-16:00,S10127
71,D,2024-12-10,14:00-16:00,S10127
52,C,2024-03-11,14:00-16:00,S10127
44,C,2024-12-26,14:00-16:00,S10127
26,B,2024-08-03,16:00-18:00,S10127
72,D,2024-11-20,16:00-18:00,S10127
56,C,2024-09-01,16:00-18:00,S10127
79,D,2024-09-10,14:00-16:00,S10127
54,C,2024-05-21,16:00-18:00,S10127
13,A,2024-01-24,16:00-18:00,S10127
27,B,2024-08-28,14:00-16:00,S10127
30,B,2024-12-17,14:00-16:00,S10127
4,A,2024-07-02,14:00-16:00,S10117
8,A,2024-12-12,14:00-16:00,S10170
57,C,2024-12-18,14:00-16:00,S10170
58,C,2024-05-23,10:00-12:00,S10170
65,D,2024-01-08,14:00-16:00,S10170
23,B,2024-08-09,14:00-16:00,S10170
63,D,2024-08-14,16:00-18:00,S10170
51,C,2024-09-03,14:00-16:00,S10170
17,A,2024-11-01,8:00-10:00,S10170
78,D,2024-05-12,14:00-16:00,S10170
64,D,2024-05-03,14:00-16:00,S10170
14,A,2024-10-08,14:00-16:00,S10170
47,C,2024-12-26,10:00-12:00,S10170
39,B,2024-04-05,16:00-18:00,S10170
59,C,2024-03-07,8:00-10:00,S10170
59,C,2024-05-07,14:00-16:00,S10170
70,D,2024-09-17,10:00-12:00,S10170
54,C,2024-08-19,14:00-16:00,S10170
29,B,2024-01-03,14:00-16:00,S10170
37,B,2024-05-26,14:00-16:00,S10170
58,C,2024-03-24,16:00-18:00,S10170
29,B,2024-01-27,14:00-16:00,S10170
3,A,2024-11-11,10:00-12:00,S10170
73,D,2024-12-10,14:00-16:00,S10170
62,D,2024-05-10,16:00-18:00,S10170
4,A,2024-01-21,8:00-10:00,S10170
21,B,2024-12-24,14:00-16:00,S10170
29,B,2024-05-12,16:00-18:00,S10170
72,D,2024-05-28,10:00-12:00,S10170
32,B,2024-08-16,14:00-16:00,S10170
79,D,2024-05-07,16:00-18:00,S10170
51,C,2024-11-07,8:00-10:00,S10170
72,D,2024-05-24,10:00-12:00,S10170
12,A,2024-03-26,16:00-18:00,S10170
54,C,2024-04-02,14:00-16:00,S10170
48,C,2024-12-10,16:00-18:00,S10170
58,C,2024-12-27,10:00-12:00,S10170
39,B,2024-05-04,14:00-16:00,S10170
58,C,2024-06-05,14:00-16:00,S10170
5,A,2024-04-24,10:00-12:00,S10170
12,A,2024-12-11,14:00-16:00,S10170
53,C,2024-05-15,10:00-12:00,S10170
54,C,2024-01-09,14:00-16:00,S10170
29,B,2024-05-18,14:00-16:00,S10170
1,A,2024-02-13,14:00-16:00,S10170
41,C,2024-12-06,10:00-12:00,S10170
59,C,2024-11-02,16:00-18:00,S10170
52,C,2024-12-20,14:00-16:00,S10170
79,D,2024-05-14,10:00-12:00,S10170
1,A,2024-04-20,14:00-16:00,S10170
46,C,2024-05-23,10:00-12:00,S10170
21,B,2024-12-03,16:00-18:00,S10170
80,D,2024-06-09,14:00-16:00,S10170
51,C,2024-05-26,14:00-16:00,S10170
36,B,2024-05-20,10:00-12:00,S10170
57,C,2024-12-15,16:00-18:00,S10170
